ra,dec,type,const,mag,name,id,id1,cat1,id2,cat2
10.7327,11.7036,Gxy,Leo,10.0,,5122,95,M,3351.0,NGC
12.4627,13.0086,Gxy,Vir,10.0,The Eyes,7136,4438,NGC,,
12.6287,11.8181,Gxy,Vir,10.1,,7511,58,M,4579.0,NGC
1.70503,51.5711,PN,Per,10.1,,1052,76,M,650.0,NGC
13.4997,47.2664,Gxy,CVn,10.2,Whirlpool galaxy,8875,5195,NGC,,
11.192,55.6733,Gxy,UMa,10.2,,5403,108,M,3556.0,NGC
12.5909,14.4967,Gxy,Com,10.4,,7417,91,M,4548.0,NGC
12.0314,-18.8686,Gxy,Crv,10.5,Antennae,6310,4038,NGC,60.0,C
12.0316,-18.8861,Gxy,Crv,10.7,Antennae,6311,4039,NGC,61.0,C
12.4613,13.0789,Gxy,Vir,10.8,The Eyes,7133,4435,NGC,,
8.92628,58.7339,Gxy,UMa,10.9,Helix galaxy,4171,2685,NGC,,
12.6095,11.2381,Gxy,Vir,11.2,Siamese Twins,7479,4568,NGC,,
17.8208,-20.0094,PN,Sgr,11.2,Little Gem,10932,6445,NGC,,
12.6091,11.2578,Gxy,Vir,11.5,Siamese Twins,7472,4567,NGC,,
17.2345,-12.9108,PN,Oph,11.5,Box nebula,10739,6309,NGC,,
8.22069,45.9919,Gxy,Lyn,11.7,Bear Paw galaxy,3806,2537,NGC,,
12.2052,29.1794,Gxy,Com,12.3,Box,6501,4169,NGC,,
12.2056,29.2117,Gxy,Com,12.7,Box,6508,4173,NGC,,
22.6009,33.9483,Gxy,Peg,13.1,Stephan's Quintet,12532,7320,NGC,,
22.5996,33.9658,Gxy,Peg,13.4,Stephan's Quintet,12530,7318,NGC,,
12.2086,29.1683,Gxy,Com,13.4,Box,6511,4175,NGC,,
12.7696,30.7264,Gxy,Com,13.5,The Mice,7773,4676,NGC,,
12.2074,29.1492,Gxy,Com,13.5,Box,6509,4174,NGC,,
1.69522,-89.3344,Gxy,Oct,13.6,Polarissima Australis,1049,2573,NGC,,
